Date,DIS Close Price,NFLX Close Price
13-07-15,118.05,707.61
14-07-15,117.85,702.6
15-07-15,118.3,98.13
16-07-15,119.07,115.81
17-07-15,118.86,114.77
20-07-15,119.58,110.55
21-07-15,119.31,112.51
22-07-15,119.33,111.5
23-07-15,118.8,110.1
24-07-15,118.91,109.34
27-07-15,118.25,106.43
28-07-15,118.46,106.9
29-07-15,119.84,107.08
30-07-15,120.03,111.56
31-07-15,120,114.31
03-08-15,121.12,112.56
04-08-15,121.69,121.15
05-08-15,110.53,123.71
06-08-15,108.55,126.45
07-08-15,109.35,123.52
10-08-15,111,123.03
11-08-15,108,122.74
12-08-15,106.99,120.51
13-08-15,107.52,123.73
14-08-15,107.16,123.39
17-08-15,109.05,125.36
18-08-15,106.94,124.05
19-08-15,106.45,122.06
20-08-15,100.02,112.49
21-08-15,98.84,103.96
24-08-15,95.36,96.88
25-08-15,95.89,101.52
26-08-15,99.23,110.13
27-08-15,102.17,117.66
28-08-15,102.48,117.63
31-08-15,101.88,115.03
01-09-15,99.51,105.79
02-09-15,101.89,105.44
03-09-15,101.99,101.06
04-09-15,100.97,98.79
08-09-15,104.01,94.95
09-09-15,101.91,99.18
10-09-15,102.6,99.48
11-09-15,104.48,97.51
14-09-15,103.82,95.69
15-09-15,103.43,99.16
16-09-15,103.96,104.08
17-09-15,104.2,104.21
18-09-15,102.84,102.62
21-09-15,103.41,100.3
22-09-15,102.49,98.47
23-09-15,101.57,98.07
24-09-15,100.62,103.76
25-09-15,100.3,102.24
28-09-15,98.49,99.47
29-09-15,99.42,98.35
30-09-15,102.2,103.26
01-10-15,102.67,105.98
02-10-15,103,106.11
05-10-15,103.85,111.25
06-10-15,103.77,108.33
07-10-15,103.39,108.1
08-10-15,104.61,114.93
09-10-15,105.56,113.33
12-10-15,106.35,113.45
13-10-15,106.59,109.73
14-10-15,105.73,110.23
15-10-15,107.89,101.09
16-10-15,108.24,98.99
19-10-15,109.47,101.69
20-10-15,109.84,98.99
21-10-15,110.09,97.96
22-10-15,113.25,97.32
23-10-15,113.09,100.04
26-10-15,113.52,103.04
27-10-15,113.77,103.07
28-10-15,114.34,105.8
29-10-15,115.04,105.12
30-10-15,113.74,108.38
02-11-15,115.04,107.64
03-11-15,115.54,109.74
04-11-15,113.25,114.05
05-11-15,113,113.5
06-11-15,115.67,114.06
09-11-15,116.42,109.86
10-11-15,117.42,112.7
11-11-15,116.52,112.86
12-11-15,116.21,108.92
13-11-15,114.84,103.65
16-11-15,115.92,111.35
17-11-15,116.13,117.1
18-11-15,118.14,120.63
19-11-15,118.71,120.22
20-11-15,120.07,123.84
23-11-15,119.42,125.03
24-11-15,117.95,123.31
25-11-15,118.67,124.16
27-11-15,115.13,125.44
30-11-15,113.47,123.33
01-12-15,115.39,125.37
02-12-15,114,128.93
03-12-15,111.89,126.81
04-12-15,114.24,130.93
07-12-15,113.83,125.36
08-12-15,112.48,126.98
09-12-15,111.47,124.2
10-12-15,110.76,122.91
11-12-15,108.04,118.91
14-12-15,109.35,120.67
15-12-15,112.16,118.6
16-12-15,113.79,122.64
17-12-15,112.01,122.51
18-12-15,107.72,118.02
21-12-15,106.59,116.63
22-12-15,106.74,116.24
23-12-15,105.56,118.16
24-12-15,105.86,117.33
28-12-15,107.25,117.11
29-12-15,107.08,119.12
30-12-15,106.34,116.71
31-12-15,105.08,114.38
04-01-16,102.98,109.96
05-01-16,100.9,107.66
06-01-16,100.36,117.68
07-01-16,99.5,114.56
08-01-16,99.25,111.39
11-01-16,99.92,114.97
12-01-16,101.46,116.58
13-01-16,98.48,106.56
14-01-16,99.11,107.06
15-01-16,93.9,104.04
19-01-16,93.97,107.89
20-01-16,92.54,107.74
21-01-16,94.02,102.35
22-01-16,96.9,100.72
25-01-16,95.29,99.12
26-01-16,96.27,97.83
27-01-16,94.32,91.15
28-01-16,93.53,94.41
29-01-16,95.82,91.84
01-02-16,95.15,94.09
02-02-16,93.12,91.49
03-02-16,95.14,90.74
04-02-16,95.43,89.71
05-02-16,93.9,82.79
08-02-16,92.12,83.32
09-02-16,92.32,86.13
10-02-16,88.85,88.45
11-02-16,90.31,86.35
12-02-16,91.15,87.4
16-02-16,92.91,89.05
17-02-16,95.5,94.76
18-02-16,95.17,90.49
19-02-16,95.01,89.23
22-02-16,96.37,91.93
23-02-16,95.38,89.12
24-02-16,95.43,91.61
25-02-16,95.65,94.53
26-02-16,95.31,94.79
29-02-16,95.52,93.41
01-03-16,97.65,98.3
02-03-16,97,97.61
03-03-16,98.82,97.93
04-03-16,98.48,101.58
07-03-16,99.39,95.49
